timestamp,plugin_version,claude_version,git_sha,overall_rate,per_scenario_rates
20260427-040930,0.1.0,2.1.119 (Claude Code),7a95621,0.0%,chdir-01:0.0;chdir-02:0.0;git-switch-01:0.0;git-switch-02:0.0;env-set-01:0.0
20260427-071810,0.1.0,2.1.119 (Claude Code),9cf68f9,0.0%,chdir-01:0.0;chdir-02:0.0;git-switch-01:0.0;git-switch-02:0.0;env-set-01:0.0
20260427-072248,0.1.0,2.1.119 (Claude Code),9cf68f9,0.0%,chdir-01:0.0;chdir-02:0.0;git-switch-01:0.0;git-switch-02:0.0;env-set-01:0.0
20260427-115434,0.1.1,2.1.119 (Claude Code),37d33d9,20.0%,chdir-01:0.0;chdir-02:0.0;git-switch-01:0.0;git-switch-02:0.0;env-set-01:1.0
20260427-115756,0.1.1,2.1.119 (Claude Code),37d33d9,6.7%,chdir-01:0.0;chdir-02:0.0;git-switch-01:0.0;git-switch-02:0.0;env-set-01:0.33
20260427-155915,0.1.2,2.1.119 (Claude Code),e362a1d,0.0%,chdir-01:0.0
20260427-160032,0.1.2,2.1.119 (Claude Code),e362a1d,100.0%,chdir-01:1.0
20260427-160126,0.1.2,2.1.119 (Claude Code),e362a1d,53.3%,chdir-01:0.67;chdir-02:1.0;git-switch-01:0.33;git-switch-02:0.0;env-set-01:0.67
20260427-233118,0.1.3,2.1.119 (Claude Code),a043678,100.0%,git-switch-02:1.0;env-set-01:1.0
20260427-233247,0.1.3,2.1.119 (Claude Code),a043678,100.0%,chdir-01:1.0;chdir-02:1.0;git-switch-01:1.0;git-switch-02:1.0;env-set-01:1.0
20260428-040044,0.1.3,2.1.121 (Claude Code),bb40eb2,96.8% (partial 31/50),chdir-01:1.0;chdir-02:1.0;git-switch-01:0.9;git-switch-02:1.0(1/1);env-set-01:N/A(harness-aborted)
20260428-042123,0.1.3,2.1.121 (Claude Code),bb40eb2,98.0%,chdir-01:1.0;chdir-02:1.0;git-switch-01:0.9;git-switch-02:1.0;env-set-01:1.0
